feature,importance
total_volume,305104.7912750244
age,240695.8042564392
swap_twd_volume,167814.69715499878
tx_per_day,159588.31203079224
total_twd_volume,156520.4015197754
min_retention_minutes,118735.92219924927
avg_twd_amount,107600.07301330566
crypto_deposit_count,74136.60380554199
twd_deposit_ratio,67072.68605804443
swap_to_twd_ratio,59516.27248382568
night_tx_ratio,49309.40953063965
crypto_net_flow,47436.07094955444
retention_event_count,42420.88721847534
crypto_withdraw_count,37930.26913070679
crypto_currency_count,34892.046546936035
blacklist_neighbor_count,27010.788452148438
twd_withdraw_count,26651.146434783936
user_source,24139.928050994873
twd_deposit_count,15433.669250488281
swap_buy_ratio,12969.470470428467
deposit_only_flag,9871.735149383545
swap_count,8270.044380187988
is_direct_neighbor,5595.758354187012
high_speed_risk,5444.883941650391
swap_buy_count,5055.824993133545
swap_sell_count,2874.193214416504
ip_anomaly,0.0
kyc_level,0.0
max_ip_shared_users,0.0
unique_ip_count,0.0
asymmetry_flag,0.0
usdt_tx_count,0.0
